5UTR	mut	treatment	ID	target	ct
grp	mel	H2O	grp-mel4	Rluc	22.40689659
grp	mel	H2O	grp-mel5	Rluc	22.51169395
grp	mel	H2O	grp-mel6	Rluc	22.61260605
grp	mel	NaAsO2	grp-As-mel1	Rluc	22.67068863
grp	mel	NaAsO2	grp-As-mel2	Rluc	22.31678963
grp	mel	NaAsO2	grp-As-mel3	Rluc	22.67533684
grp	mel	NaAsO2	grp-As-mel4	Rluc	22.50786781
grp	mel	NaAsO2	grp-As-mel5	Rluc	22.81723785
grp	mel	NaAsO2	grp-As-mel6	Rluc	22.8968277
grp	mel	H2O	grp-mel1	Rluc	22.6355629
grp	mel	H2O	grp-mel2	Rluc	21.72495461
grp	mel	H2O	grp-mel3	Rluc	22.39100838
grp	mel	H2O	grp-mel4	Rluc	22.38660622
grp	mel	H2O	grp-mel5	Rluc	22.39398766
grp	mel	H2O	grp-mel6	Rluc	22.52696228
grp	mel	NaAsO2	grp-As-mel1	Rluc	22.67551422
grp	mel	NaAsO2	grp-As-mel2	Rluc	22.26564026
grp	mel	NaAsO2	grp-As-mel3	Rluc	22.70033836
grp	mel	NaAsO2	grp-As-mel4	Rluc	22.58076668
grp	mel	NaAsO2	grp-As-mel5	Rluc	22.83847046
grp	mel	NaAsO2	grp-As-mel6	Rluc	22.8996563
grp	mel	H2O	grp-mel1	fluc	22.3015213
grp	mel	H2O	grp-mel2	fluc	21.45488739
grp	mel	H2O	grp-mel3	fluc	22.06229591
grp	mel	H2O	grp-mel4	fluc	21.94853592
grp	mel	H2O	grp-mel5	fluc	22.09074783
grp	mel	H2O	grp-mel6	fluc	22.20947456
grp	mel	NaAsO2	grp-As-mel1	fluc	22.28396988
grp	mel	NaAsO2	grp-As-mel2	fluc	21.93886375
grp	mel	NaAsO2	grp-As-mel3	fluc	22.32127762
grp	mel	NaAsO2	grp-As-mel4	fluc	22.18074799
grp	mel	NaAsO2	grp-As-mel5	fluc	22.44617081
grp	mel	NaAsO2	grp-As-mel6	fluc	22.59809113
grp	mel	H2O	grp-mel1	fluc	22.34641266
grp	mel	H2O	grp-mel2	fluc	21.48985672
grp	mel	H2O	grp-mel3	fluc	22.1027298
grp	mel	H2O	grp-mel4	fluc	21.97379494
grp	mel	H2O	grp-mel5	fluc	22.22626495
grp	mel	H2O	grp-mel6	fluc	22.26115608
grp	mel	NaAsO2	grp-As-mel1	fluc	22.31320572
grp	mel	NaAsO2	grp-As-mel2	fluc	21.97082138
grp	mel	NaAsO2	grp-As-mel3	fluc	22.36928749
grp	mel	NaAsO2	grp-As-mel4	fluc	22.16815567
